artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,song_popularity,popularity,sentiment,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,audio_mode_0.0,audio_mode_1.0,time_signature_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
Kim Areum,0.354,0.649,0.909,1.27e-06,0.0908,-4.044,0.0657,114.88,0.511,309487.0,24,0,0.85,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
XAVII,0.256,0.52,0.672,1.4e-06,0.103,-6.097,0.121,151.909,0.208,180000.0,18,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
TOIL,0.691,0.6,0.368,0.0,0.102,-7.921,0.0282,66.991,0.243,229240.0,42,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
LUCY,0.427,0.337,0.947,5.27e-05,0.0875,-3.355,0.365,205.863,0.316,164027.0,36,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
EPEX,0.00563,0.554,0.816,0.0,0.134,-3.809,0.0488,133.097,0.612,153240.0,44,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Damu,0.449,0.475,0.437,0.0,0.117,-5.78,0.0273,134.264,0.148,248731.0,12,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Song Sohee,0.152,0.44,0.543,9.49e-06,0.203,-6.272,0.0298,149.994,0.0697,367500.0,26,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Loeyn,0.0327,0.692,0.698,0.0,0.164,-7.086,0.0323,119.994,0.306,212540.0,13,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CHABITNA,0.648,0.612,0.503,7.8e-05,0.159,-7.469,0.0256,96.063,0.448,253606.0,12,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Jiselle,0.135,0.711,0.649,0.0,0.326,-4.473,0.0442,139.984,0.517,167933.0,42,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
SBGB,0.773,0.643,0.234,2.28e-06,0.137,-10.073,0.0361,114.904,0.28,184287.0,22,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
