artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,popularity,sentiment,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,audio_mode_0.0,audio_mode_1.0,time_signature_3.0,time_signature_4.0,time_signature_5.0
9MUSES,0.0628,0.581,0.944,0.0,0.166,-2.439,0.0667,142.97,0.947,177672.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
T-ARA,0.0102,0.756,0.835,2.13e-06,0.05,-3.697,0.04,127.986,0.506,228725.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
EXO,0.145,0.681,0.814,0.0,0.556,-2.83,0.0603,89.993,0.876,207053.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Trouble Maker,0.39,0.694,0.9,4.81e-06,0.27,-3.31,0.0393,117.94,0.6,218697.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
BESTie,0.0627,0.756,0.899,0.0,0.118,-3.184,0.031,122.98,0.914,192070.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
9MUSES,0.0253,0.698,0.94,0.0,0.25,-2.551,0.086,132.933,0.839,184660.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
SISTAR,0.176,0.719,0.945,0.0,0.576,-2.085,0.0424,136.045,0.961,201326.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
9MUSES,0.109,0.644,0.928,1.69e-06,0.22,-2.662,0.0954,110.011,0.838,206498.0,0.0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
AOA,0.313,0.832,0.862,0.0,0.176,-2.675,0.112,116.996,0.699,222940.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
ZHOUMI,0.0164,0.808,0.638,0.0,0.104,-4.834,0.0614,97.942,0.601,212034.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Gain,0.351,0.857,0.639,1.53e-05,0.0873,-5.508,0.0394,128.051,0.834,217078.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
SOYOU,0.446,0.738,0.676,0.0,0.253,-3.025,0.0507,95.04,0.961,211375.0,1.0,-0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
INFINITE,0.0581,0.604,0.973,1.49e-06,0.232,-1.324,0.0543,122.064,0.804,196885.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
WINNER,0.146,0.568,0.698,0.0,0.262,-6.618,0.0445,90.119,0.568,220358.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Lee Michelle,0.134,0.525,0.836,6.4e-06,0.0976,-3.961,0.0518,154.071,0.599,217992.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
VIXX,0.13,0.586,0.942,0.0,0.217,-2.791,0.0848,129.088,0.366,183979.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Beast,0.346,0.637,0.792,0.0,0.0743,-2.932,0.033,99.909,0.536,233848.0,0.0,-0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BTOB,0.102,0.818,0.889,0.0,0.366,-1.359,0.0793,115.976,0.963,206106.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Block B,0.0575,0.69,0.952,0.0,0.0538,-2.011,0.345,130.069,0.726,193302.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
BTOB,0.0897,0.717,0.924,0.0,0.123,-2.469,0.0895,90.03,0.829,208718.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
